anion,T,trail,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
tfsi,353,9.0,0.00046948,5.348e-05,0.00047013,5.997e-05
tfsi,353,9.5,0.00039972,5.272e-05,0.00031592,5.527e-05
tfsi,353,10.0,0.00029432,5.018e-05,0.00027801,5.308e-05
tfsi,373,0.1,,,0.00193095,0.00014508
tfsi,373,0.2,0.00955738,0.00506241,0.0020685,0.00014856
tfsi,373,0.3,0.01192415,0.00326591,0.00212647,0.00015241
tfsi,373,0.4,0.01418924,0.00240643,0.00212611,0.0001567
tfsi,373,0.5,0.01158259,0.00224584,0.00212761,0.00015688
tfsi,373,0.6,0.00994541,0.00156849,0.00212468,0.00014832
tfsi,373,0.7,0.00937191,0.00152202,0.00215905,0.00014628
tfsi,373,0.8,0.00981338,0.00136469,0.00215796,0.00014644
tfsi,373,0.9,0.00990168,0.00107606,0.00215729,0.00014702
tfsi,373,1.0,0.00889409,0.00085331,0.00216536,0.00015168
tfsi,373,1.1,0.00823822,0.0007072,0.00215582,0.00014555
tfsi,373,1.2,0.00577024,0.00075843,0.00212646,0.00014568
tfsi,373,1.3,0.00597473,0.00063845,0.00228803,0.00011949
tfsi,373,1.4,0.00560702,0.00057859,0.00226644,0.00011496
tfsi,373,1.5,0.0045187,0.00061914,0.00221687,0.00012045
tfsi,373,1.6,0.00468118,0.00057284,0.00217001,0.00012683
tfsi,373,1.7,0.0049741,0.0005196,0.00218356,0.00012043
tfsi,373,1.8,0.00492154,0.00047916,0.00219423,0.00011535
tfsi,373,1.9,0.00436701,0.00047166,0.00220186,0.00011946
tfsi,373,2.0,0.00281351,0.00048696,0.00222955,0.00011946
tfsi,373,2.5,0.00240419,0.00030618,0.00211741,0.00010981
tfsi,373,3.0,0.00238413,0.00027763,0.00212346,0.00011861
tfsi,373,3.5,0.00159559,0.00022917,0.00205824,0.00012766
tfsi,373,4.0,0.00150462,0.00017647,0.00194241,0.00012473
tfsi,373,4.5,0.00120345,0.00014826,0.00190868,0.00010871
tfsi,373,5.0,0.00106755,0.00011503,0.00185441,0.00012249
tfsi,373,5.5,0.00097603,0.0001145,0.0015855,0.00014219
tfsi,373,6.0,0.0008535,9.716e-05,0.00138989,0.00012472
tfsi,373,6.5,0.00070982,8.436e-05,0.00125222,0.00011655
tfsi,373,7.0,0.00059433,7.25e-05,0.0010602,0.00010702
tfsi,373,7.5,0.00053317,6.727e-05,0.00092831,0.00010418
tfsi,373,8.0,0.00052067,6.02e-05,0.00075397,0.00010297
tfsi,373,8.5,0.00045058,5.553e-05,0.00058139,9.156e-05
